Type de sainteté,Titulaire du dossier,Nom,Statut religieux,Statut,Sexe,Id
conf.,oui,Ailbeus,séculier,ecclésiastique,homme,Ailbeus (101)
martyr,oui,Albanus,séculier,ecclésiastique,homme,Albanus (102)
martyr,oui,Albanus,séculier,laïc,homme,Albanus (103)
martyr,oui,Albanus,séculier,ecclésiastique,homme,Albanus (104)
conf.,oui,Albartus,séculier,ecclésiastique,homme,Albartus (105)
conf.,oui,Albericus,régulier,ecclésiastique,homme,Albericus (106)
conf.,oui,Albertus,régulier,ecclésiastique,homme,Albertus (107)
conf.,oui,Albertus,régulier,ecclésiastique,homme,Albertus (108)
conf.,oui,Albertus,régulier,ecclésiastique,homme,Albertus (109)
conf.,oui,Albertus,séculier,ecclésiastique,homme,Albertus (110)
conf.,oui,Albertus,régulier,ecclésiastique,homme,Albertus (111)
conf.,oui,Albertus,régulier,ecclésiastique,homme,Albertus (112)
conf.,oui,Albertus,séculier,ecclésiastique,homme,Albertus (113)
conf.,oui,Albertus,régulier,ecclésiastique,homme,Albertus (114)
martyr,oui,Albina,séculier,laïc,femme,Albina (115)
conf.,oui,Albinus,séculier,ecclésiastique,homme,Albinus (116)
martyr,oui,Albinus,séculier,laïc,homme,Albinus (117)
conf.,oui,Albuinus,séculier,ecclésiastique,homme,Albuinus (118)
conf.,non,Alchmundus,séculier,ecclésiastique,homme,Alchmundus (119)
conf.,oui,Alchmundus,séculier,ecclésiastique,homme,Alchmundus (120)
conf.,oui,Alcuinus,régulier,ecclésiastique,homme,Alcuinus (121)
conf.,oui,Aldebrandus,séculier,ecclésiastique,homme,Aldebrandus (122)
conf.,oui,Aldegundis,régulier,ecclésiastique,femme,Aldegundis (123)
conf.,oui,Aldemarius,régulier,ecclésiastique,homme,Aldemarius (124)
conf.,oui,Aldetrudis,régulier,ecclésiastique,femme,Aldetrudis (125)
conf.,oui,Aldhelmus,séculier,ecclésiastique,homme,Aldhelmus (126)
conf.,oui,Aldricus,séculier,ecclésiastique,homme,Aldricus (127)
conf.,oui,Aldricus,séculier,ecclésiastique,homme,Aldricus (128)
conf.,oui,Aleidis,régulier,ecclésiastique,femme,Aleidis (129)
martyr,oui,Alena,séculier,laïc,femme,Alena (130)
martyr,non,Alexander,séculier,ecclésiastique,homme,Alexander (131)
martyr,non,Alexander,séculier,laïc,homme,Alexander (132)
martyr,non,Alexander,séculier,laïc,homme,Alexander (133)
martyr,oui,Alexander,séculier,ecclésiastique,homme,Alexander (134)
conf.,oui,Alexander,séculier,ecclésiastique,homme,Alexander (135)
martyr,oui,Alexander,séculier,ecclésiastique,homme,Alexander (136)
martyr,oui,Alexander,séculier,laïc,homme,Alexander (137)
conf.,oui,Alexander,séculier,ecclésiastique,homme,Alexander (138)
martyr,oui,Alexander,séculier,ecclésiastique,homme,Alexander (139)
martyr,oui,Alexander,séculier,laïc,homme,Alexander (140)
martyr,oui,Alexander,séculier,laïc,homme,Alexander (141)
martyr,oui,Alexander,séculier,laïc,homme,Alexander (142)
conf.,oui,Alexius,régulier,ecclésiastique,homme,Alexius (143)
conf.,oui,Alexius,séculier,laïc,homme,Alexius (144)
conf.,oui,Alferius,régulier,ecclésiastique,homme,Alferius (145)
conf.,oui,Allucius,séculier,laïc,homme,Allucius (146)
martyr,non,Almarus,séculier,laïc,homme,Almarus (147)
conf.,oui,Almirus,régulier,ecclésiastique,homme,Almirus (148)
martyr,non,Alodia,séculier,laïc,femme,Alodia (149)
conf.,oui,Alodius,séculier,ecclésiastique,homme,Alodius (150)
conf.,oui,Alpais,séculier,laïc,femme,Alpais (151)
conf.,oui,Alpinianus,séculier,ecclésiastique,homme,Alpinianus (152)
conf.,oui,Alpinus,séculier,ecclésiastique,homme,Alpinus (153)
conf.,oui,Alruna,séculier,laïc,femme,Alruna (154)
conf.,oui,Altmannus,séculier,ecclésiastique,homme,Altmannus (155)
conf.,oui,Alto,régulier,ecclésiastique,homme,Alto (156)
conf.,oui,Alveus,séculier,ecclésiastique,homme,Alveus (157)
conf.,oui,Amabilis,séculier,ecclésiastique,homme,Amabilis (158)
conf.,oui,Amadeus,régulier,ecclésiastique,homme,Amadeus (159)
conf.,oui,Amalberga,séculier,laïc,femme,Amalberga (160)
conf.,oui,Amalberga,séculier,laïc,femme,Amalberga (161)
conf.,oui,Amandus,régulier,laïc,homme,Amandus (162)
conf.,oui,Amandus,séculier,ecclésiastique,homme,Amandus (163)
conf.,oui,Amandus,régulier,ecclésiastique,homme,Amandus (164)
conf.,oui,Amandus,régulier,ecclésiastique,homme,Amandus (165)
martyr,oui,Amandus,séculier,laïc,homme,Amandus (166)
conf.,oui,Amandus,séculier,ecclésiastique,homme,Amandus (167)
conf.,oui,Amantes,séculier,laïc,homme,Amantes (168)
conf.,oui,Amantius,régulier,ecclésiastique,homme,Amantius (169)
conf.,oui,Amantius,séculier,ecclésiastique,homme,Amantius (170)
conf.,oui,Amantius,séculier,ecclésiastique,homme,Amantius (171)
martyr,oui,Amarandus,séculier,laïc,homme,Amarandus (172)
conf.,oui,Amasius,séculier,ecclésiastique,homme,Amasius (173)
conf.,oui,Amata,régulier,ecclésiastique,femme,Amata (174)
conf.,oui,Amator,séculier,ecclésiastique,homme,Amator (175)
conf.,oui,Amator,régulier,laïc,homme,Amator (176)
martyr,oui,Amator,séculier,ecclésiastique,homme,Amator (177)
conf.,oui,Amatus,régulier,ecclésiastique,homme,Amatus (178)
conf.,oui,Amatus,séculier,ecclésiastique,homme,Amatus (179)
conf.,oui,Amatus,séculier,ecclésiastique,homme,Amatus (180)
conf.,non,Ambrosius,régulier,ecclésiastique,homme,Ambrosius (181)
conf.,oui,Ambrosius,régulier,ecclésiastique,homme,Ambrosius (182)
conf.,oui,Ambrosius,séculier,ecclésiastique,homme,Ambrosius (183)
martyr,oui,Ambrosius,séculier,laïc,homme,Ambrosius (184)
conf.,oui,Ambrosius,séculier,ecclésiastique,homme,Ambrosius (185)
conf.,oui,Ambrosius,régulier,ecclésiastique,homme,Ambrosius (186)
conf.,oui,Ambrosius,régulier,ecclésiastique,homme,Ambrosius (187)
martyr,non,Amelius,séculier,ecclésiastique,homme,Amelius (188)
martyr,oui,Amicus,séculier,ecclésiastique,homme,Amicus (189)
conf.,oui,Amicus,régulier,ecclésiastique,homme,Amicus (190)
martyr,oui,Ammon,régulier,ecclésiastique,homme,Ammon (191)
conf.,oui,Ammon,régulier,ecclésiastique,homme,Ammon (192)
conf.,oui,Ammon,régulier,ecclésiastique,homme,Ammon (193)
martyr,oui,Ammonaria,séculier,laïc,femme,Ammonaria (194)
conf.,oui,Amon,séculier,ecclésiastique,homme,Amon (195)
conf.,oui,Amor,séculier,ecclésiastique,homme,Amor (196)
conf.,oui,Ampelius,régulier,ecclésiastique,homme,Ampelius (197)
martyr,non,Ampelius,séculier,laïc,homme,Ampelius (198)
martyr,non,Amphibalus,séculier,ecclésiastique,homme,Amphibalus (199)
martyr,oui,Amphibalus,séculier,laïc,homme,Amphibalus (200)
conf.,oui,Anacletus,séculier,ecclésiastique,homme,Anacletus (201)
conf.,oui,Ananias,séculier,ecclésiastique,homme,Ananias (202)
martyr,oui,Ananias,séculier,laïc,homme,Ananias (203)
martyr,oui,Anastasia,séculier,laïc,femme,Anastasia (204)
martyr,oui,Anastasia,séculier,laïc,femme,Anastasia (205)
martyr,non,Anastasius,séculier,laïc,homme,Anastasius (206)
martyr,non,Anastasius,séculier,laïc,homme,Anastasius (207)
conf.,non,Anastasius,régulier,ecclésiastique,homme,Anastasius (208)
conf.,non,Anastasius (alius),régulier,ecclésiastique,homme,Anastasius (alius) (209)
conf.,oui,Anastasius,séculier,ecclésiastique,homme,Anastasius (210)
martyr,oui,Anastasius,séculier,ecclésiastique,homme,Anastasius (211)
conf.,oui,Anastasius,régulier,ecclésiastique,homme,Anastasius (212)
conf.,oui,Anastasius,séculier,ecclésiastique,homme,Anastasius (213)
martyr,oui,Anastasius,régulier,ecclésiastique,homme,Anastasius (214)
martyr,oui,Anastasius,séculier,laïc,homme,Anastasius (215)
conf.,oui,Anastasius,régulier,ecclésiastique,homme,Anastasius (216)
conf.,oui,Anatalon,séculier,ecclésiastique,homme,Anatalon (217)
martyr,oui,Anatolia,séculier,laïc,femme,Anatolia (218)
conf.,oui,Anatolius,séculier,ecclésiastique,homme,Anatolius (219)
conf.,oui,Ancilla,séculier,laïc,femme,Ancilla (220)
martyr,oui,Andeolus,séculier,ecclésiastique,homme,Andeolus (221)
martyr,oui,Andochius,séculier,ecclésiastique,homme,Andochius (222)
martyr,non,Andreas,séculier,laïc,homme,Andreas (223)
martyr,oui,Andreas,séculier,ecclésiastique,homme,Andreas (224)
conf.,oui,Andreas,régulier,ecclésiastique,homme,Andreas (225)
martyr,oui,Andreas,séculier,laïc,homme,Andreas (226)
conf.,oui,Andreas,régulier,ecclésiastique,homme,Andreas (227)
conf.,oui,Andreas,régulier,ecclésiastique,homme,Andreas (228)
conf.,oui,Andreas,séculier,ecclésiastique,homme,Andreas (229)
conf.,oui,Andreas,séculier,ecclésiastique,homme,Andreas (230)
conf.,oui,Andreas,séculier,laïc,homme,Andreas (231)
conf.,oui,Andreas,régulier,ecclésiastique,homme,Andreas (232)
conf.,oui,Andreas,régulier,ecclésiastique,homme,Andreas (233)
martyr,non,Andronicus,séculier,laïc,homme,Andronicus (234)
conf.,oui,Angadrisma,séculier,laïc,femme,Angadrisma (235)
conf.,oui,Angela,régulier,ecclésiastique,femme,Angela (236)
conf.,oui,Angela,régulier,laïc,femme,Angela (237)
conf.,oui,Angelelmus,séculier,ecclésiastique,homme,Angelelmus (238)
martyr,non,Angelus,régulier,ecclésiastique,homme,Angelus (239)
conf.,oui,Angelus,régulier,ecclésiastique,homme,Angelus (240)
conf.,oui,Angelus,régulier,ecclésiastique,homme,Angelus (241)
conf.,oui,Angelus,régulier,ecclésiastique,homme,Angelus (242)
martyr,oui,Angelus,régulier,ecclésiastique,homme,Angelus (243)
conf.,oui,Angelus,régulier,ecclésiastique,homme,Angelus (244)
conf.,oui,Angilbertus,régulier,ecclésiastique,homme,Angilbertus (245)
conf.,oui,Angilrannus,régulier,ecclésiastique,homme,Angilrannus (246)
conf.,oui,Anianus,séculier,ecclésiastique,homme,Anianus (247)
conf.,oui,Anianus,séculier,ecclésiastique,homme,Anianus (248)
conf.,oui,Anianus,séculier,ecclésiastique,homme,Anianus (249)
conf.,oui,Anicetus,séculier,ecclésiastique,homme,Anicetus (250)
martyr,oui,Anicetus,séculier,laïc,homme,Anicetus (251)
conf.,oui,Anna,séculier,ecclésiastique,femme,Anna (252)
martyr,oui,Annemundus,séculier,ecclésiastique,homme,Annemundus (253)
martyr,non,Annianus,séculier,ecclésiastique,homme,Annianus (254)
conf.,oui,Anno,séculier,ecclésiastique,homme,Anno (255)
conf.,oui,Annobertus,séculier,laïc,homme,Annobertus (256)
martyr,oui,Ansanus,séculier,laïc,homme,Ansanus (257)
conf.,oui,Ansaricus,séculier,ecclésiastique,homme,Ansaricus (258)
conf.,oui,Ansbertus,séculier,ecclésiastique,homme,Ansbertus (259)
conf.,oui,Ansegisus,régulier,ecclésiastique,homme,Ansegisus (260)
conf.,oui,Anselmus,séculier,ecclésiastique,homme,Anselmus (261)
conf.,oui,Anselmus,séculier,ecclésiastique,homme,Anselmus (262)
conf.,oui,Anselmus,régulier,ecclésiastique,homme,Anselmus (263)
conf.,oui,Anselmus,séculier,ecclésiastique,homme,Anselmus (264)
conf.,oui,Ansfridus,séculier,ecclésiastique,homme,Ansfridus (265)
conf.,oui,Anskarius,séculier,ecclésiastique,homme,Anskarius (266)
conf.,oui,Ansovinus,séculier,ecclésiastique,homme,Ansovinus (267)
conf.,oui,Anstrudis,régulier,ecclésiastique,femme,Anstrudis (268)
martyr,oui,Ansuerus,régulier,ecclésiastique,homme,Ansuerus (269)
conf.,oui,Anteros,séculier,ecclésiastique,homme,Anteros (270)
conf.,oui,Anthelmus,régulier,ecclésiastique,homme,Anthelmus (271)
martyr,non,Anthes,séculier,laïc,homme,Anthes (272)
martyr,oui,Anthimus,séculier,ecclésiastique,homme,Anthimus (273)
martyr,non,Antia,séculier,laïc,femme,Antia (274)
martyr,oui,Antidius,séculier,ecclésiastique,homme,Antidius (275)
martyr,oui,Antiochena,séculier,laïc,femme,Antiochena (276)
martyr,oui,Antolianus,séculier,ecclésiastique,homme,Antolianus (277)
conf.,non,Antoninus,séculier,ecclésiastique,homme,Antoninus (278)
martyr,oui,Antoninus,séculier,ecclésiastique,homme,Antoninus (279)
martyr,oui,Antoninus,séculier,ecclésiastique,homme,Antoninus (280)
conf.,oui,Antoninus,séculier,ecclésiastique,homme,Antoninus (281)
martyr,oui,Antoninus,séculier,ecclésiastique,homme,Antoninus (282)
martyr,oui,Antoninus,séculier,laïc,homme,Antoninus (283)
conf.,oui,Antoninus,régulier,ecclésiastique,homme,Antoninus (284)
conf.,oui,Antonius,régulier,ecclésiastique,homme,Antonius (285)
conf.,oui,Antonius,séculier,ecclésiastique,homme,Antonius (286)
conf.,oui,Antonius,régulier,ecclésiastique,homme,Antonius (287)
conf.,oui,Antonius,régulier,ecclésiastique,homme,Antonius (288)
conf.,oui,Antonius,séculier,laïc,homme,Antonius (289)
martyr,oui,Antonius,régulier,ecclésiastique,homme,Antonius (290)
conf.,oui,Antonius,régulier,ecclésiastique,homme,Antonius (291)
conf.,oui,Antonius,régulier,ecclésiastique,homme,Antonius (292)
conf.,oui,Anub,régulier,ecclésiastique,homme,Anub (293)
conf.,oui,Aper,séculier,ecclésiastique,homme,Aper (294)
conf.,oui,Aper,séculier,ecclésiastique,homme,Aper (295)
conf.,oui,Aphrodisius,séculier,ecclésiastique,homme,Aphrodisius (296)
conf.,oui,Apianus,régulier,ecclésiastique,homme,Apianus (297)
martyr,non,Apollinaris,séculier,laïc,homme,Apollinaris (298)
conf.,oui,Apollinaris,régulier,ecclésiastique,homme,Apollinaris (299)
martyr,oui,Apollinaris,séculier,ecclésiastique,homme,Apollinaris (300)
martyr,oui,Apollinaris,séculier,laïc,homme,Apollinaris (301)
conf.,oui,Apollinaris,séculier,ecclésiastique,homme,Apollinaris (302)
martyr,oui,Apollo,séculier,laïc,homme,Apollo (303)
martyr,oui,Apollonia,séculier,laïc,femme,Apollonia (304)
martyr,oui,Apollonia,séculier,laïc,femme,Apollonia (305)
conf.,oui,Apollonius,régulier,ecclésiastique,homme,Apollonius (306)
martyr,non,Apollonius,séculier,laïc,homme,Apollonius (307)
martyr,non,Apollonius,séculier,laïc,homme,Apollonius (308)
martyr,oui,Apostoli,séculier,ecclésiastique,homme,Apostoli (309)
martyr,oui,Apronianus,séculier,laïc,homme,Apronianus (310)
martyr,non,Apuleius,séculier,laïc,homme,Apuleius (311)
conf.,oui,Aquilinus,séculier,ecclésiastique,homme,Aquilinus (312)
conf.,oui,Arbogastus,séculier,ecclésiastique,homme,Arbogastus (313)
martyr,oui,Arcadius,séculier,laïc,homme,Arcadius (314)
martyr,oui,Archelaa,séculier,laïc,femme,Archelaa (315)
conf.,oui,Ardanus,régulier,ecclésiastique,homme,Ardanus (316)
conf.,oui,Arduinus,séculier,ecclésiastique,homme,Arduinus (317)
conf.,oui,Aredius,régulier,ecclésiastique,homme,Aredius (318)
conf.,oui,Aredius,séculier,ecclésiastique,homme,Aredius (319)
martyr,oui,Arethas,séculier,laïc,homme,Arethas (320)
martyr,oui,Argentea,séculier,laïc,femme,Argentea (321)
martyr,oui,Argimirus,régulier,ecclésiastique,homme,Argimirus (322)
martyr,oui,Arialdus,séculier,ecclésiastique,homme,Arialdus (323)
conf.,oui,Armagilus,régulier,ecclésiastique,homme,Armagilus (324)
martyr,oui,Armogastes,séculier,laïc,homme,Armogastes (325)
conf.,oui,Arnestus,séculier,ecclésiastique,homme,Arnestus (326)
conf.,oui,Arnikius,séculier,ecclésiastique,homme,Arnikius (327)
conf.,oui,Arnoldus,séculier,laïc,homme,Arnoldus (328)
conf.,oui,Arnoldus,séculier,ecclésiastique,homme,Arnoldus (329)
martyr,oui,Arnulfus,séculier,laïc,homme,Arnulfus (330)
conf.,oui,Arnulfus,séculier,ecclésiastique,homme,Arnulfus (331)
martyr,oui,Arnulfus,séculier,laïc,homme,Arnulfus (332)
conf.,oui,Arnulfus,séculier,ecclésiastique,homme,Arnulfus (333)
martyr,oui,Arnulfus,séculier,ecclésiastique,homme,Arnulfus (334)
conf.,oui,Arnulfus,séculier,ecclésiastique,homme,Arnulfus (335)
conf.,oui,Arnulfus,régulier,ecclésiastique,homme,Arnulfus (336)
conf.,oui,Arsenius,régulier,ecclésiastique,homme,Arsenius (337)
conf.,non,Arsenius,régulier,ecclésiastique,homme,Arsenius (338)
conf.,oui,Artaldus,séculier,ecclésiastique,homme,Artaldus (339)
martyr,oui,Artemas,séculier,laïc,homme,Artemas (340)
martyr,oui,Artemia,séculier,laïc,femme,Artemia (341)
martyr,oui,Artemius,séculier,laïc,homme,Artemius (342)
conf.,oui,Arthellais,séculier,laïc,femme,Arthellais (343)
conf.,oui,Asaph,séculier,ecclésiastique,homme,Asaph (344)
martyr,oui,Asclas,séculier,laïc,homme,Asclas (345)
conf.,oui,Asella,séculier,laïc,femme,Asella (346)
conf.,oui,Aspren,séculier,ecclésiastique,homme,Aspren (347)
martyr,oui,Asteria,séculier,laïc,femme,Asteria (348)
martyr,oui,Asterius,séculier,ecclésiastique,homme,Asterius (349)
martyr,non,Astion,régulier,ecclésiastique,homme,Astion (350)
martyr,non,Asturius,séculier,laïc,homme,Asturius (351)
martyr,non,Atalenus,séculier,ecclésiastique,homme,Atalenus (352)
conf.,oui,Athanasius,séculier,ecclésiastique,homme,Athanasius (353)
conf.,oui,Athanasius,séculier,ecclésiastique,homme,Athanasius (354)
conf.,oui,Attala,régulier,ecclésiastique,femme,Attala (355)
conf.,oui,Attala,régulier,ecclésiastique,homme,Attala (356)
conf.,oui,Attilanus,séculier,ecclésiastique,homme,Attilanus (357)
martyr,non,Auceia,séculier,laïc,homme,Auceia (358)
conf.,oui,Auctor,séculier,ecclésiastique,homme,Auctor (359)
conf.,oui,Auctor,séculier,ecclésiastique,homme,Auctor (360)
martyr,non,Audaldus,séculier,laïc,homme,Audaldus (361)
martyr,non,Audax,séculier,laïc,homme,Audax (362)
martyr,non,Audifax,séculier,laïc,homme,Audifax (363)
conf.,oui,Audoenus,séculier,ecclésiastique,homme,Audoenus (364)
conf.,oui,Audomarus,séculier,ecclésiastique,homme,Audomarus (365)
martyr,non,Augurius,séculier,ecclésiastique,homme,Augurius (366)
conf.,oui,Augustinus,séculier,ecclésiastique,homme,Augustinus (367)
conf.,oui,Augustinus,séculier,ecclésiastique,homme,Augustinus (368)
conf.,oui,Augustinus,régulier,ecclésiastique,homme,Augustinus (369)
conf.,oui,Augustinus,régulier,ecclésiastique,homme,Augustinus (370)
conf.,oui,Aunarius,séculier,ecclésiastique,homme,Aunarius (371)
martyr,oui,Aurea,séculier,laïc,femme,Aurea (372)
conf.,oui,Aurea,régulier,ecclésiastique,femme,Aurea (373)
martyr,oui,Aurea,séculier,laïc,femme,Aurea (374)
conf.,oui,Aurelia,séculier,laïc,femme,Aurelia (375)
conf.,oui,Aurelius,séculier,ecclésiastique,homme,Aurelius (376)
martyr,non,Aurelius,séculier,laïc,homme,Aurelius (377)
martyr,oui,Aureus,séculier,ecclésiastique,homme,Aureus (378)
martyr,oui,Ausonius,séculier,ecclésiastique,homme,Ausonius (379)
conf.,oui,Auspicius,séculier,ecclésiastique,homme,Auspicius (380)
conf.,oui,Austreberta,régulier,ecclésiastique,femme,Austreberta (381)
conf.,oui,Austregisilus,séculier,ecclésiastique,homme,Austregisilus (382)
conf.,oui,Austremonius,séculier,ecclésiastique,homme,Austremonius (383)
conf.,oui,Austriclinianus,séculier,ecclésiastique,homme,Austriclinianus (384)
conf.,oui,Autbertus,séculier,ecclésiastique,homme,Autbertus (385)
conf.,oui,Autbertus,séculier,ecclésiastique,homme,Autbertus (386)
martyr,non,Auxentius,séculier,laïc,homme,Auxentius (387)
conf.,oui,Aventinus,séculier,ecclésiastique,homme,Aventinus (388)
conf.,oui,Avertanus,régulier,ecclésiastique,homme,Avertanus (389)
conf.,oui,Avitus,régulier,ecclésiastique,homme,Avitus (390)
conf.,oui,Avitus,régulier,ecclésiastique,homme,Avitus (391)
conf.,oui,Avitus,séculier,ecclésiastique,homme,Avitus (392)
conf.,oui,Babolenus,régulier,ecclésiastique,homme,Babolenus (393)
martyr,oui,Babylas,séculier,ecclésiastique,homme,Babylas (394)
martyr,non,Bacchus,séculier,laïc,homme,Bacchus (395)
conf.,oui,Baculus,séculier,ecclésiastique,homme,Baculus (396)
conf.,oui,Baithinus,régulier,ecclésiastique,homme,Baithinus (397)
