Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Lietbertus,Lietbertus ep. Cameracensis,homme,ecclésiastique,séculier,Lietbertus ep. Cameracensis,"['BHL 4928 | Gesta', 'BHL 4929 | Vita auct. Rodulfo mon. S. Sepulcri Camerac', 'BHL Lietbertus |']",['Lietbertus (1884)'],
Nicius,Nicius ab. prope Pontemcurvum,homme,ecclésiastique,régulier,Nicius ab. prope Pontemcurvum,"['BHL 6094 | Vita', 'BHL Nicius |']",['Nicius (2270)'],
Nicodemus,Nicodemus Christi discipulus,homme,laïc,séculier,Nicodemus Christi discipulus,['BHL Nicodemus |'],['Nicodemus (2271)'],
Nicolaus01,Nicolaus I papa,homme,ecclésiastique,séculier,Nicolaus I papa,"['BHL 6095 | Vita', 'BHL Nicolaus01 |']",['Nicolaus (2272)'],
Nicolaus02,Nicolaus Albergatus,homme,ecclésiastique,séculier,Nicolaus Albergatus ep. Bononiensis et S. R. E. cardinalis,"['BHL 6096 | Vita auct. Iacobo Zeno', 'BHL 6097 | Laudatio funebris auct. Poggio Florentino', 'BHL 6098 | Laudatio funebris auct. G. Clerico Bononiensi', 'BHL Nicolaus02 |']",['Nicolaus (2273)'],
Nicolaus03,Nicolaus Arusiensis,homme,laïc,séculier,Nicolaus conf. Arusiensis,"['BHL 6099 | Vita', 'BHL Nicolaus03 |']",['Nicolaus (2274)'],
Nicolaus04,Nicolaus et soc. m. Ledesmae,homme,laïc,séculier,Nicolaus puer et soc. m. Ledesmae,"['BHL 6100 | Passio auct. Iohanne Aegidii Zamorensi', 'BHL Nicolaus04 |']",['Nicolaus (2275)'],
Nicolaus05,Nicolaus ep. Lincopensis,homme,ecclésiastique,séculier,Nicolaus ep. Lincopensis,"['BHL 6101 | Vita Et Miracula', 'BHL 6102 | Vita Et Miracula', 'BHL 6102c | Processus de vita et  miraculis', 'BHL 6103 | Vita Et Miracula', 'BHL Nicolaus05 |']",['Nicolaus (2276)'],
Nicolaus06,Nicolaus ep. Myrensis,homme,ecclésiastique,séculier,Nicolaus ep. Myrensis,"['BHL 6104 | Vita auct. Iohanne diac. Neapolitano. Prologus', 'BHL 6105 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6106 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6107 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6108 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6109 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6110 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6110c |', 'BHL 6111 | Vita auct. Iohanne Diac. Neapolitano', 'BHL 6112 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6113 | Vita auct. Iohanne Diac. Neapolitano', 'BHL 6114 | Vita auct. Iohanne Diac. Neapolitano', 'BHL 6115 | Vita auct. Iohanne Diac. Neapolitano', 'BHL 6116 | Vita auct. Iohanne Diac. Neapolitano', 'BHL 6117 | Vita auct. Iohanne diac. Neapolitano', 'BHL 6118 | Vita', 'BHL 6119 | Vita', 'BHL 6120 | Vita', 'BHL 6121 | Vita', 'BHL 6122 | Vita', 'BHL 6123 | Vita', 'BHL 6124 | Vita', 'BHL 6125 | Vita', 'BHL 6126 | Vita auct. Othloho', 'BHL 6127 | Vita Et Miracula', 'BHL 6127b | Vita', 'BHL 6127c | Vita', 'BHL 6127d | Vita metrica', 'BHL 6128 | Vita auct. Leonardo Iustiniano', 'BHL 6129 | Vita', 'BHL 6129b | Iohannis Bonelli rhythmi de vita et miraculis.', 'BHL 6130 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6131 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6132 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6133 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6134 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6135 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6136 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6137 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6138 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6139 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6140 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6140b |', 'BHL 6141 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6141b |', 'BHL 6142 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6143 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6144 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6145 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6145b |', 'BHL 6146 | Narrationes de miraculis vivente S.Nicolao factis.Prologus', 'BHL 6147 | Narrationes de miraculis vivente S.Nicolao factis.', 'BHL 6148 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6149 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6150 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6151 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6152 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6153 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6154 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6155 | Narrationes de miraculis vivente S. Nicolao factis. De morte S. Nicolai', 'BHL 6156 | Narrationes de miraculis vivente S. Nicolao factis. De morte S. Nicolai', 'BHL 6156a |', 'BHL 6156c |', 'BHL 6156d |', 'BHL 6156e |', 'BHL 6156g |', 'BHL 6156h | (auct. Iohanne mon. et presb.)', 'BHL 6157 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6158 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6159 | Narrationes de miraculis vivente S. Nicolao factis', 'BHL 6160 | Miracula post mortem ante translationem', 'BHL 6160a |', 'BHL 6160b |', 'BHL 6161 | Miracula post mortem ante translationem', 'BHL 6162 | Miracula post mortem ante translationem.', 'BHL 6162b | Pars.', 'BHL 6163 | Miracula post mortem ante translationem', 'BHL 6164 | Miracula post mortem ante translationem', 'BHL 6165 | Miracula post mortem ante translationem', 'BHL 6166 | Miracula post mortem ante translationem.', 'BHL 6166b | (Alia recensio)', 'BHL 6167 | Miracula post mortem ante translationem', 'BHL 6167a |', 'BHL 6168 | Miracula post mortem ante translationem', 'BHL 6169 | Miracula post mortem ante translationem.', 'BHL 6170 | Miracula post mortem ante translationem. (Epitome).', 'BHL 6170a |', 'BHL 6170c |', 'BHL 6170f |', 'BHL 6170h |', 'BHL 6171 | Miracula post mortem ante translationem.', 'BHL 6172 | Miracula post mortem ante translationem', 'BHL 6172a |', 'BHL 6172b |', 'BHL 6173 | Miracula post mortem ante translationem (epitome)', 'BHL 6174 | Miracula post mortem ante translationem', 'BHL 6174a |', 'BHL 6175 | Miracula post mortem ante translationem (epitome)', 'BHL 6176 | Miracula post mortem ante translationem.', 'BHL 6176a | Miraculum Leodiense', 'BHL 6177 | Miracula Andegavi facta saec.XI med., auct. Iohelo mon. Cenomannensi', 'BHL 6178 | Miracula in monasterio S. Nicolai Brunwilarensi an. 1080-1084 facta', 'BHL 6179 | Translatio Barium an. 1087. Auctore Nicephoro clerico Barensi', 'BHL 6179b | Epitome', 'BHL 6180 | Translatio Barium an. 1087. Auctore Nicephoro clerico Barensi', 'BHL 6181 | Translatio Barium an. 1087. Auctore Nicephoro clerico Barensi', 'BHL 6182 | Translatio Barium an. 1087. Auctore Nicephoro clerico Barensi', 'BHL 6183 | Translatio Barium an. 1087 auctore Nicephoro clerico Barensi', 'BHL 6184 | Translatio Barium an. 1087 auctore Nicephoro clerico Barensi', 'BHL 6185 | Translatio Barium an. 1087 auctore Nicephoro clerico Barensi', 'BHL 6186 | Translatio Barium an. 1087 auctore Nicephoro clerico Barensi', 'BHL 6187 | Translatio Barium an. 1087. Auctore Nicephoro clerico Barensi', 'BHL 6188 | Translatio Barium an. 1087. Auctore Nicephoro clerico Barensi', 'BHL 6189 | Translatio Barium an. 1087. Auctore Nicephoro clerico Barensi', 'BHL 6189d | Translatio', 'BHL 6189e | Additamentum', 'BHL 6189f | Additamentum', 'BHL 6190 | Translatio Barium an. 1087. Auctore Iohanne archidiac. Barensi', 'BHL 6191 | Translatio Barium an. 1087. Auctore Iohanne archidiac. Barensi. Miracula', 'BHL 6192 | Translatio Barium an. 1087. Auctore Iohanne archidiac. Barensi', 'BHL 6193 | Translatio Barium an. 1087. Auctore Iohanne archidiac. Barensi', 'BHL 6194 | Translatio Barium an. 1087. Auctore Iohanne archidiac. Barensi', 'BHL 6195 | Translatio Barium an. 1087 auctore Iohanne archidiac. Barensi', 'BHL 6196 | Translatio Barium an. 1087 auctore Iohanne archidiac. Barensi. Miracula addita', 'BHL 6197 | Translatio Barium an. 1087 auctore Iohanne archidiac. Barensi', 'BHL 6198 | Translatio Barium an. 1087 auctore Iohanne archidiac. Barensi', 'BHL 6199 | Translatio Barium an. 1087 auctore Iohanne archidiac. Barensi.', 'BHL 6199b | Translatio Barium an. 1087 auctore Iohanne archidiac. Barensi.', 'BHL 6199m | a. Compilatio Vindobonensis (ex libellis BHL 6105-6, 6108, 6120, 6134-35, 6137-45, 6148-49, 6160-61, 6164-65, 6167 et 6187 confecta). b. Eiusdem capitulorum tituli versificati', 'BHL 6200 | Translatio Venetias an. 1100 (S. Nicolai, alterius Nicolai eiusdem avunculi, et Theodori martyris). Translatio', 'BHL 6201 | Translatio Venetias an. 1100 (S. Nicolai, alterius Nicolai eiusdem avunculi, et Theodori martyris). Translatio', 'BHL 6202 | Translatio Venetias an. 1100 (S. Nicolai, alterius Nicolai eiusdem avunculi, et Theodori martyris). Miracula', 'BHL 6203 | Translatio Venetias an. 1100 (S. Nicolai, alterius Nicolai eiusdem avunculi, et Theodori martyris). (in Chronico Iordani de Curti)', 'BHL 6204 | Translatio Venetias an. 1100 (S.Nicolai, alterius Nicolai eiusdem avunculi, et Theodori martyris).', 'BHL 6205 | Translatio ad Portum villam Lotharingiae ante 1101', 'BHL 6206 | Miracula Beneventi facta saec. XI extr.', 'BHL 6207 | Miracula auct. mon. Beccensi, saec. XII in.', 'BHL 6208 | Miracula auct. mon. Beccensi, saec. XII in.', 'BHL 6209 | Miraculum', 'BHL 6210 | ""A quo et per quam et quando composita sit historia et prosa  de S. Nicolao""', 'BHL 6211 | De casula S. Nicolai', 'BHL 6211b | Miracula Rillariensia saec. XV. I', 'BHL 6211c | Miracula Rillariensia saec. XV. II', 'BHL 6211g | Miraculum in monasterio S. Emmeramni.', 'BHL 6212 | Rhythmi. Vita', 'BHL 6213 | Rhythmi.Miraculum', 'BHL 6214 | Rhythmi.Miraculum', 'BHL 6215 | Rhythmi.Miraculum', 'BHL 6216 | Rhythmi.Translatio Barium', 'BHL 6217 | Comoediae rhythmicae. De tribus puellis', 'BHL 6218 | Comoediae rhythmicae. De tribus clericis', 'BHL 6219 | Comoediae rhythmicae.De tribus clericis', 'BHL 6220 | Comoediae rhythmicae. De quodam Judaeo', 'BHL 6221 | Comoediae rhythmicae. De filio Getronis', 'BHL 6221b | Miraculum de tribus pueris.', 'BHL 6221d | Hymnus saec. XII', 'BHL 6221e | Miracula varia. I. auct. Hermanno Bonon. (Viat., c. 27)', 'BHL 6221f | Miracula varia. II.', 'BHL 6221g | Miracula varia. III.', 'BHL 6221h | Miracula varia. IV.', 'BHL 6221j | Miracula varia. V.', 'BHL 6221k | Miracula varia. VI.', 'BHL 6221n | Miracula varia. VII.', 'BHL 6221p | Miracula varia. VIII.', 'BHL 6221q | Miracula varia. IX.', 'BHL Nicolaus06 |']",['Nicolaus (2277)'],
Nicolaus07,Nicolaus avunculus S. Nicolai avunculus S. Nicolai Myrensis,homme,laïc,séculier,Nicolaus avunculus S. Nicolai ep. Myrensis,['BHL Nicolaus07 |'],['Nicolaus (2278)'],
Nicolaus08,Nicolaus erem. occisus Neapoli,homme,ecclésiastique,régulier,Nicolaus erem. occisus Neapoli,"['BHL 6222 | Vita', 'BHL Nicolaus08 |']",['Nicolaus (2279)'],
Nicolaus09,Nicolaus Peregrinus,homme,laïc,séculier,"Nicolaus Peregrinus, conf. Tranensis","['BHL 6223 | De vita Nicolai in Graecia', 'BHL 6224 | De aduentu Tranum, obitu, miraculis, auct. Adelferio', 'BHL 6225 | De aduentu Tranum, obitu, miraculis, auct. Adelferio', 'BHL 6226 | De canonizatione et translatione, auct. Amando diac. Tranensi', 'BHL Nicolaus09 |']",['Nicolaus (2280)'],1098
Nicolaus10,Nicolaus de Prussia,homme,ecclésiastique,régulier,Nicolaus de Prussia,"['BHL 6227 | Vita auct. Iuliano Ianuensi mon.', 'BHL 6227b | Gabrielis de Ianua epistula de miraculis', 'BHL Nicolaus10 |']",['Nicolaus (2281)'],
Nicolaus11,Nicolaus de Rupe,homme,laïc,régulier,"Nicolaus de Rupe (von der Flue), erem. in Helvetia","['BHL 6227z | Historia auct. Henrico de Gundelfingen', 'BHL 6228 | Historia auct. Alberto de Bonstetten', 'BHL Nicolaus11 |']",['Nicolaus (2282)'],
Nicolaus12,Nicolaus erem. in Sicilia,homme,ecclésiastique,régulier,Nicolaus erem. in Sicilia,"['BHL 6229 | Vita', 'BHL Nicolaus12 |']",['Nicolaus (2283)'],
Nicolaus13,Nicolaus Tolentinas,homme,ecclésiastique,régulier,Nicolaus Tolentinas Ord. Erem. S. Aug.,"['BHL 6230 | Vita et miracula auct. Petro de Monte Rubiano', 'BHL 6230b |', 'BHL 6230d | Relatio facta Romano Pontifici. I. Relatio de processu.', 'BHL 6231 | Relatio facta Romano Pontifici. II. Relatio de vita', 'BHL 6231b | Relatio facta Romano Pontifici. III. Relatio de miraculis.', 'BHL 6231c | Relatio facta Romano Pontifici. IV. Relatio de fama.', 'BHL 6232 | Vita', 'BHL 6233 | Epitomae', 'BHL 6234 | Epitomae', 'BHL 6235 | Epitome', 'BHL 6236 | Epitome', 'BHL Nicolaus13 |']",['Nicolaus (2284)'],1446
Nicolaus14,Nicolaus de Tavileis et soc. m.,homme,ecclésiastique,régulier,Nicolaus de Tavileis et soc. m. Ord. Min.,"['BHL 6229d | Relatio Vaticana. I', 'BHL 6229e | Relatio Vaticana. II', 'BHL 6229f | Relatio Lipsiensis (1394)', 'BHL 6229g | Relatio Sibenicensis. I. Fragmentum.', 'BHL 6229h | Relatio Sibenicensis. II.', 'BHL 6229j | Relatio (Vallicelliana)', 'BHL Nicolaus14 |']",['Nicolaus (3649)'],
Nicolaus15,Nicolaus Magistri Iohannis Physici,homme,ecclésiastique,régulier,"Nicolaus Magistri Iohannis Physici O. P., Venetiis","['BHL 6236d | Epistola de obitu, auct. Iohanne Dominico O. P.', 'BHL Nicolaus15 |']",['Nicolaus (3650)'],
Nicolaus16,Nicolaus conf. Villarii,homme,ecclésiastique,régulier,Nicolaus conversus Ord. Cist. Villarii in Brabantia,"['BHL 6236m | Narratio de B. Nicolao et sociis.', 'BHL Nicolaus16 |']",['Nicolaus (3651)'],
Nicomedes,Nicomedes m. Romae,homme,ecclésiastique,séculier,Nicomedes presb. m. Romae,"['BHL 6237 | Passio', 'BHL 6238 | Passio', 'BHL Nicomedes |']",['Nicomedes (2285)'],
Ninianus,Ninianus apostolus Pictorum,homme,ecclésiastique,régulier,"Ninianus ep., apostolus Pictorum","['BHL 6239 | Vita auct. Aelredo Rievallensi ab.Vita', 'BHL 6240 | Vita auct. Aelredo Rievallensi ab. Miracula', 'BHL 6240b | Carmen de miraculis', 'BHL 6240c | Hymnus', 'BHL 6241 | Epitome', 'BHL Ninianus |']",['Ninianus (2287)'],
Ninnoca,Ninnoca v. in Britannia Armorica,femme,laïc,régulier,Ninnoca v. in Britannia Armorica,"['BHL 6242 | Vita', 'BHL Ninnoca |']",['Ninnoca (2288)'],
Nivardus,Nivardus ep. Remensis,homme,ecclésiastique,séculier,Nivardus ep. Remensis,"['BHL 6243 | Vita auct. Almanno mon. Altivallarensi', 'BHL Nivardus |']",['Nivardus (2289)'],
Noitburgis,Noitburgis v. Coloniensis,femme,laïc,séculier,Noitburgis (-ga) v. Coloniensis,"['BHL 6244 | Vita', 'BHL 6245 | Vita', 'BHL 6246 | Vita', 'BHL Noitburgis |']",['Noitburgis (2290)'],
Nonnosus,Nonnosus conf. in Monte Soractis,homme,ecclésiastique,séculier,Nonnosus conf. in Monte Soractis,"['BHL 6247 | Vita', 'BHL Nonnosus |']",['Nonnosus (2291)'],
Norbertus,Norbertus ep. Magdeburgensis,homme,ecclésiastique,séculier,Norbertus ep. Magdeburgensis,"['BHL 6248 | Vita', 'BHL 6249 | Vita', 'BHL 6250 | Additamenta Fratrum Cappenbergensium ad Vitam 2', 'BHL 6250d |', 'BHL Norbertus |']",['Norbertus (2292)'],
Notkerus,Notkerus Balbulus,homme,ecclésiastique,régulier,Notkerus Balbulus mon. Sangallensis,"['BHL 6251 | Vita auct. Ekkehardo decano Sangallensi', 'BHL Notkerus |']",['Notkerus (2293)'],
Novatus,Novatus presb. Romae,homme,ecclésiastique,séculier,Novatus presb. Romae,['BHL Novatus |'],['Novatus (2294)'],
Nunilo,Nunilo et Alodia,femme,laïc,séculier,Nunilo et Alodia v. et m. Oscae,"['BHL 6252 | Passio auct. Eulogio', 'BHL 6252b | Passio', 'BHL 6252c |', 'BHL 6253 | Translatio ad monasterium Legerense an. 880', 'BHL Nunilo |']","['Alodia (149)', 'Nunilo (2295)']",
Nympha,Nympha v. et soc. m.,femme,laïc,séculier,Nympha v. et soc. m. Panormitani,"['BHL 6254 | Passio', 'BHL 6255 | Passio. Miraculum', 'BHL 6256 | Passio', 'BHL Nympha |']",['Nympha (2296)'],
Octavianus,Octavianus erem.,homme,ecclésiastique,régulier,Octavianus erem. prope Volaterras,"['BHL 6257 | Laudatio', 'BHL 6258 | Vita', 'BHL Octavianus |']",['Octavianus (2297)'],
Oda01,Oda Amaniensis,femme,laïc,séculier,Oda Amaniensis vidua,"['BHL 6258d | Vita', 'BHL 6259 | Vita', 'BHL 6260 | Vita', 'BHL 6260b | Vita', 'BHL 6261 | Vita', 'BHL Oda01 |']",['Oda (2299)'],
Oda02,Oda v. Ord. Praem.,femme,laïc,régulier,Oda v. Ord. praem. in Hannonia,"['BHL 6262 | Vita auct. Philippo Harvengio', 'BHL Oda02 |']",['Oda (2300)'],
Oda03,Oda v. Rodensis,femme,laïc,séculier,Oda v. Rodensis,"['BHL 6263 | Vita', 'BHL 6264 | Vita', 'BHL 6265 | Translatio', 'BHL 6266 | Epistula apologetica super Vita S. Odae', 'BHL 6267 | Epistula apologetica super Vita S. Odae', 'BHL 6268 | Vitae 1 epitome', 'BHL Oda03 |']",['Oda (2301)'],
Odgerus,Odgerus diac. Ruraemundae,homme,ecclésiastique,séculier,Odgerus diac. Ruraemundae,"['BHL 6269 | Vita', 'BHL 6270 | Epitome', 'BHL Odgerus |']",['Odgerus (2302)'],
Odilia01,Odilia abb. Hohenburgensis,femme,laïc,régulier,Odilia abb. Hohenburgensis in Alsatia,"['BHL 6271 | Vita', 'BHL 6271d |', 'BHL 6272 | Epitomae', 'BHL 6273 | Epitomae', 'BHL 6273a |', 'BHL 6273ab | Epitome', 'BHL 6273b | Epitome', 'BHL 6273d | Epitome et retractatio vitae 1', 'BHL 6274 | Reliquiae Carolo regii Romanorum concessae an. 1354', 'BHL Odilia01 |']",['Odilia (2304)'],
Odilia02,Odilia vidua Leodiensis,femme,laïc,séculier,Odilia vidua Leodiensis,"['BHL 6275 | Vita', 'BHL 6276 | (De triumpho S. Lamberti  in Steppes)', 'BHL Odilia02 |']",['Odilia (2305)'],
Odilia03,Odilia abb. in Orpio Magno,femme,laïc,régulier,Odilia abb. in Orpio Magno,"['BHL 6277 | Vita', 'BHL 6278 | Vita', 'BHL Odilia03 |']",['Odilia (2306)'],
Odilia04,Odilia v. m. Coloniae,femme,laïc,séculier,Odilia v. m. de sociabus S. Ursulae,"['BHL 6279 | Translatio Hoium saec. XIII extr.', 'BHL Odilia04 |']",['Odilia (2307)'],
Odilo,Odilo ab. Cluniacensis,homme,ecclésiastique,régulier,Odilo ab. Cluniacensis,"['BHL 6280 | Epistula monachorum Silviniacensium de obitu et miraculis', 'BHL 6280a |', 'BHL 6280b |', 'BHL 6281 | Vita auct. Iotsaldo mon. Cluniac., libris 3', 'BHL 6282 | Vita auct. Petro Damiano', 'BHL 6282b | Vita auct. Petro Damiano retractata.', 'BHL 6283 | Vita (ex Vitis 2 et 3 compilata)', 'BHL 6283d | Versus xxx de electione Odilonis.', 'BHL 6283f | Planctus de transitu auct. Iotsaldo mon.', 'BHL 6284 | Recognitio reliquiarum an. 1345', 'BHL 6285 | Costa canonicis Carnutensibus concessa an. 1347', 'BHL Odilo |']",['Odilo (2308)'],
Odo01,Odo presb. Brabantinus,homme,ecclésiastique,séculier,Odo presb. Brabantinus,"['BHL 6286 | Vita', 'BHL Odo01 |']",['Odo (2309)'],
Odo02,Odo ep. Cameracensis,homme,ecclésiastique,séculier,Odo ep. Cameracensis,"['BHL 6287 | Epistula Amandi de Castello, prioris Aquicinctini de vita et moribus', 'BHL 6288 | Vita', 'BHL Odo02 |']",['Odo (2310)'],
Odo03,Odo ep. Cantuariensis,homme,ecclésiastique,séculier,Odo ep. Cantuariensis,"['BHL 6289 | Vita auct. Eadmero (non autem Osberno)', 'BHL 6290 | Vita auct. Eadmero (non autem Osberno)', 'BHL 6291 | Epitome', 'BHL Odo03 |']",['Odo (2311)'],
Odo04,Odo ab. Cluniacensis,homme,ecclésiastique,régulier,Odo ab. Cluniacensis,"['BHL 6292 | Vita auct. Iohanne mon. Cluniac.', 'BHL 6293 | Vita auct. Iohanne mon. Cluniac.', 'BHL 6294 | Vita auct. Iohanne mon. Cluniac.', 'BHL 6295 | Vita auct. Iohanne mon. Cluniac.', 'BHL 6296 | Vita auct. Iohanne mon. Cluniac', 'BHL 6297 | Vita auct. Iohanne mon. Cluniac.', 'BHL 6298 | Vita', 'BHL 6299 | Vita auct. Nalgodo mon. Cluniac', 'BHL Odo04 |']",['Odo (2312)'],
Odo05,Odo Novariensis,homme,ecclésiastique,régulier,"Odo Novariensis presb. Ord. Cartus., + Talleacotii",['BHL Odo05 |'],['Odo (2313)'],
Odo06,Odo ep. Urgellensis,homme,ecclésiastique,séculier,Odo ep. Urgellensis,"['BHL 6300 | Vita', 'BHL 6301 | Vita', 'BHL 6302 | Miracula', 'BHL Odo06 |']",['Odo (2314)'],
Odoricus,Odoricus de Portu Naonis,homme,ecclésiastique,régulier,"Odoricus de Portu Naonis, al. de Utino seu de Foro Iulii, Ord. Min.","['BHL 6303 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6304 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6305 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6306 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6307 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6308 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6309 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6310 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6311 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6312 | Iter in Orientem ab ipso narratum (conscriptum a Guilelmo de Solagna)', 'BHL 6312d |', 'BHL 6313 | Iter in Orientem ab ipso narratum. (Retractatum et interpolatum ab Henrico de Glatz)', 'BHL 6314 | De morte et miraculis', 'BHL 6315 | Ratio publice expensorum pro sepultura Beati (ian. 1331), pro conscriptione miraculorum (ian. 1332) et pro arca sepulcri (april. et mai 1332)', 'BHL 6316 | Vita (in Chronica XXIV Generalium Ord. Min.)', 'BHL Odoricus |']",['Odoricus (2315)'],
Odrada,Odrada v.,femme,laïc,séculier,Odrada v. in Campinia Belgica,"['BHL 6317 | Vita', 'BHL Odrada |']",['Odrada (2316)'],
Odulfus,Odulfus presb.,homme,ecclésiastique,régulier,Odulfus presb.,"['BHL 6318 | Vita', 'BHL 6319 | Translatio in Evesham cca. 1034, auct. Dominico priore Eveshamensi', 'BHL 6320 | Miracula auct. Dominico priore Eveshamensi', 'BHL 6321 | Epitome libellorum 1, 2, 3', 'BHL Odulfus |']",['Odulfus (2317)'],
Olavus,Olavus rex Norvegiae,homme,laïc,séculier,Olavus rex Norvegiae m.,"['BHL 6322 | Passio et miracula auct. Augustino ep. Nidrosiensi. Passio', 'BHL 6323 | Passio et miracula auct. Augustino ep. Nidrosiensi. Passio', 'BHL 6324 | Passio et miracula auct. Augustino ep. Nidrosiensi. Miracula', 'BHL 6325 | Miracula saec. XII auct. Augustino ep. Nidrosiensi', 'BHL 6325b | Vitae et miraculorum epitome.', 'BHL 6325d | Narratio.', 'BHL 6325f | Vitae et miraculorum epitome.', 'BHL 6326 | Epitome', 'BHL Olavus |']",['Olavus (2318)'],
Oliva01,Oliva v. Anagnina,femme,laïc,séculier,Oliva v. Anagnina,"['BHL 6327 | Vita', 'BHL 6328 | Vita', 'BHL Oliva01 |']",['Oliva (2319)'],
Oliva02,Oliva v. m. Tunicii,femme,laïc,séculier,"Oliva v. m. Tunicii, culta Panormi","['BHL 6329 | Passio', 'BHL Oliva02 |']",['Oliva (2320)'],
Ollegarius,Ollegarius ep. Barcinonensis,homme,ecclésiastique,séculier,"Ollegarius ep. Barcinonensis, dein Tarraconensis","['BHL 6330 | Vita et miracula. Vita', 'BHL 6331 | Vita et miracula. Miracula', 'BHL 6332 | Vita', 'BHL Ollegarius |']",['Ollegarius (2321)'],
Olympias,Olympias et Maximus m.,homme,laïc,séculier,Olympias et Maximus m. Cordulae in Perside,['BHL Olympias |'],"['Maximus (2153)', 'Olympias (2322)']",
Omnes,Omnes Sancti,homme,indéterminé,séculier,Omnes Sancti - Institutio festivitatis,"['BHL 6332d |', 'BHL Omnes |']",['Omnes (3787)'],
Onesimus,Onesimus ep. Suessionensis,homme,ecclésiastique,séculier,Onesimus ep. Suessionensis,"['BHL 6333 | Vita', 'BHL Onesimus |']",['Onesimus (2324)'],
Onesiphorus,Onesiphorus et Porphyrius m.,homme,laïc,séculier,"Onesiphorus et Porphyrius, discipuli S. Pauli ap., m. in Parianorum civitate in Hellesponto","['BHL 6333m | Passio', 'BHL Onesiphorus |']","['Onesiphorus (3652)', 'Porphirius (3653)']",
Onuphrius,Onuphrius erem. in Aegypto,homme,ecclésiastique,régulier,Onuphrius erem. in Aegypto,"['BHL 6334 | Vita auct. Paphnutio ab. (?)', 'BHL 6334a |', 'BHL 6334b |', 'BHL 6335 | Vita auct. Paphnutio ab. (?). Epitome', 'BHL 6335b |', 'BHL 6335c |', 'BHL 6336 | Vita', 'BHL 6336b | Vita', 'BHL 6337 | Vita. Epitome', 'BHL 6337d |', 'BHL 6338 | Vita, libris 3', 'BHL 6338a | Legenda', 'BHL 6338b | Miraculum', 'BHL 6338d | Miraculum', 'BHL Onuphrius |']",['Onuphrius (2325)'],
Opilio,Opilio diac. Placentiae,homme,ecclésiastique,séculier,Opilio diac. Placentiae,['BHL Opilio |'],['Opilio (3654)'],
Opportuna,Opportuna abb. Sagiensis,femme,laïc,régulier,Opportuna abb. Sagiensis,"['BHL 6339 | Vita auct. Adalhelmo ep. Sagiensi', 'BHL 6340 | Miracula auct. Adalhelmo ep. Sagiensi', 'BHL 6341 | Miracula addita', 'BHL 6342 | Miracula addita', 'BHL 6343 | Miracula facta vivente Opportuna', 'BHL Opportuna |']",['Opportuna (2326)'],
